player_id,player_name,positions,teams,n_matches,date_of_birth,height_cm,nationality,data_source
464865,El Hadji Malick DIOUF,DEF,Senegal,4,,,,api.fifa.com
385475,Eldor SHOMURODOV,FWD,Uzbekistan,3,,,,api.fifa.com
448662,Elias ACHOURI,FWD,Tunisia,3,,,,api.fifa.com
482885,Elias SAAD,FWD,Tunisia,3,,,,api.fifa.com
405454,Elijah JUST,MID,New Zealand,3,,,,api.fifa.com
441341,Elisha OWUSU,MID,Ghana,4,,,,api.fifa.com
481610,Elliot ANDERSON,MID,England,8,,,,api.fifa.com
519958,Elliot STROUD,DEF,Sweden,4,,,,api.fifa.com
411658,Ellyes SKHIRI,MID,Tunisia,3,,,,api.fifa.com
390650,Eloy ROOM,GK,Curaçao,3,,,,api.fifa.com
464133,Elye WAHI,FWD,Côte d'Ivoire,4,,,,api.fifa.com
473062,Emiliano MARTINEZ,MID,Uruguay,3,,,,api.fifa.com
308300,Emiliano MARTINEZ,GK,Argentina,8,,,,api.fifa.com
486268,Emmanuel AGBADOU,DEF,Côte d'Ivoire,4,,,,api.fifa.com
373400,Enner VALENCIA,FWD,Ecuador,4,,,,api.fifa.com
448252,Enzo FERNANDEZ,MID,Argentina,8,,,,api.fifa.com
448136,Eray COEMERT,DEF,Switzerland,6,,,,api.fifa.com
484065,Eren ELMALI,DEF,Türkiye,3,,,,api.fifa.com
337232,Eric DAVIS,DEF,Panama,3,,,,api.fifa.com
405562,Eric GARCIA,DEF,Spain,8,,,,api.fifa.com
493061,Eric SMITH,DEF,Sweden,4,,,,api.fifa.com
419518,Erik LIRA,MID,Mexico,5,,,,api.fifa.com
419652,Erling HAALAND,FWD,Norway,6,,,,api.fifa.com
436743,Ermedin DEMIROVIC,FWD,Bosnia and Herzegovina,4,,,,api.fifa.com
522846,Ermin MAHMIC,MID,Bosnia and Herzegovina,4,,,,api.fifa.com
448525,Ernest NUAMAH,FWD,Ghana,4,,,,api.fifa.com
464566,Esmir BAJRAKTAREVIC,FWD,Bosnia and Herzegovina,4,,,,api.fifa.com
419172,Evan NDICKA,DEF,Côte d'Ivoire,4,,,,api.fifa.com
485675,Evann GUESSAND,FWD,Côte d'Ivoire,4,,,,api.fifa.com
430917,Evidence MAKGOPA,FWD,South Africa,4,,,,api.fifa.com
389485,Exequiel PALACIOS,MID,Argentina,8,,,,api.fifa.com
403049,Ezri KONSA,DEF,England,8,,,,api.fifa.com
394456,FABINHO,MID,Brazil,5,,,,api.fifa.com
368744,FAHAD TALIB,GK,Iraq,3,,,,api.fifa.com
419291,FERAS ALBRIKAN,FWD,Saudi Arabia,3,,,,api.fifa.com
485081,FRANCISCO CONCEICAO,FWD,Portugal,5,,,,api.fifa.com
418561,FRANCISCO TRINCAO,FWD,Portugal,5,,,,api.fifa.com
436863,FRANS PUTROS,DEF,Iraq,3,,,,api.fifa.com
394829,Fabian BALBUENA,DEF,Paraguay,5,,,,api.fifa.com
448103,Fabian RIEDER,MID,Switzerland,6,,,,api.fifa.com
430718,Fabian RUIZ,MID,Spain,8,,,,api.fifa.com
418963,Facundo MEDINA,DEF,Argentina,8,,,,api.fifa.com
439956,Facundo PELLISTRI,FWD,Uruguay,3,,,,api.fifa.com
477795,Fares CHAIBI,MID,Algeria,4,,,,api.fifa.com
