match_id,player_id,player_name,team,opponent_team,starter,minutes_played,saves,shots_faced,goals_conceded_on_pitch,clean_sheet,penalty_saves,punches,high_claims,errors,data_source
20,431223,ABDALLAH ALFAKHORI,Jordan,Austria,0,0,,,,,,,,,api.fifa.com
21,403001,DIOGO COSTA,Portugal,Congo DR,1,92,,,1,0,,,,,api.fifa.com
21,368689,JOSE SA,Portugal,Congo DR,0,0,,,,,,,,,api.fifa.com
21,448092,RUI SILVA,Portugal,Congo DR,0,0,,,,,,,,,api.fifa.com
21,441313,Lionel MPASI,Congo DR,Portugal,1,92,,,1,0,,,,,api.fifa.com
21,486196,Timothy FAYULU,Congo DR,Portugal,0,0,,,,,,,,,api.fifa.com
21,514171,Matthieu EPOLO,Congo DR,Portugal,0,0,,,,,,,,,api.fifa.com
22,336022,Jordan PICKFORD,England,Croatia,1,90,,,2,0,,,,,api.fifa.com
22,403046,Dean Henderson,England,Croatia,0,0,,,,,,,,,api.fifa.com
22,485080,James TRAFFORD,England,Croatia,0,0,,,,,,,,,api.fifa.com
22,369029,Dominik LIVAKOVIC,Croatia,England,1,90,,,4,0,,,,,api.fifa.com
22,514526,Ivor PANDUR,Croatia,England,0,0,,,,,,,,,api.fifa.com
22,448179,Dominik KOTARSKI,Croatia,England,0,0,,,,,,,,,api.fifa.com
23,386473,Lawrence Ati ZIGI,Ghana,Panama,1,99,,,0,1,,,,,api.fifa.com
23,506277,Joseph ANANG,Ghana,Panama,0,0,,,,,,,,,api.fifa.com
23,494349,Benjamin ASARE,Ghana,Panama,0,,,,,,,,,,api.fifa.com
23,441241,Orlando MOSQUERA,Panama,Ghana,1,99,,,1,0,,,,,api.fifa.com
23,267702,Luis MEJIA,Panama,Ghana,0,0,,,,,,,,,api.fifa.com
23,441402,Cesar SAMUDIO,Panama,Ghana,0,0,,,,,,,,,api.fifa.com
24,479077,Utkir YUSUPOV,Uzbekistan,Colombia,1,99,,,3,0,,,,,api.fifa.com
24,479110,Abduvohid NEMATOV,Uzbekistan,Colombia,0,0,,,,,,,,,api.fifa.com
24,385472,Botirali ERGASHEV,Uzbekistan,Colombia,0,0,,,,,,,,,api.fifa.com
24,360642,Camilo VARGAS,Colombia,Uzbekistan,1,99,,,1,0,,,,,api.fifa.com
24,228686,David OSPINA,Colombia,Uzbekistan,0,0,,,,,,,,,api.fifa.com
24,385998,Alvaro MONTERO,Colombia,Uzbekistan,0,0,,,,,,,,,api.fifa.com
26,484012,Matej KOVAR,Czechia,South Africa,1,90,,,1,0,,,,,api.fifa.com
26,441162,Jindrich STANEK,Czechia,South Africa,0,0,,,,,,,,,api.fifa.com
26,511118,Lukas HORNICEK,Czechia,South Africa,0,0,,,,,,,,,api.fifa.com
26,395986,Ronwen WILLIAMS,South Africa,Czechia,1,90,,,1,0,,,,,api.fifa.com
26,494246,Sipho CHAINE,South Africa,Czechia,0,0,,,,,,,,,api.fifa.com
26,395059,Ricardo GOSS,South Africa,Czechia,0,0,,,,,,,,,api.fifa.com
28,448107,Gregor KOBEL,Switzerland,Bosnia and Herzegovina,1,97,,,1,0,,,,,api.fifa.com
28,402022,Yvon MVOGO,Switzerland,Bosnia and Herzegovina,0,0,,,,,,,,,api.fifa.com
28,484862,Marvin KELLER,Switzerland,Bosnia and Herzegovina,0,0,,,,,,,,,api.fifa.com
28,482978,Nikola VASILJ,Bosnia and Herzegovina,Switzerland,1,97,,,4,0,,,,,api.fifa.com
28,522842,Mladen JURKAS,Bosnia and Herzegovina,Switzerland,0,0,,,,,,,,,api.fifa.com
28,491228,Martin ZLOMISLIC,Bosnia and Herzegovina,Switzerland,0,0,,,,,,,,,api.fifa.com
27,331732,Maxime CREPEAU,Canada,Qatar,1,92,,,0,1,,,,,api.fifa.com
27,441255,Dayne ST. CLAIR,Canada,Qatar,0,0,,,,,,,,,api.fifa.com
27,463817,Owen GOODMAN,Canada,Qatar,0,0,,,,,,,,,api.fifa.com
27,419459,MAHMOUD ABUNADA,Qatar,Canada,1,92,,,6,0,,,,,api.fifa.com
27,419461,SALAH ZAKARIA,Qatar,Canada,0,0,,,,,,,,,api.fifa.com
27,416056,MESHAAL BARSHAM,Qatar,Canada,0,0,,,,,,,,,api.fifa.com
25,485070,Raul RANGEL,Mexico,Korea Republic,1,90,,,0,1,,,,,api.fifa.com
25,441260,Carlos ACEVEDO,Mexico,Korea Republic,0,0,,,,,,,,,api.fifa.com
25,215285,Guillermo OCHOA,Mexico,Korea Republic,0,0,,,,,,,,,api.fifa.com
25,274281,KIM Seunggyu,Korea Republic,Mexico,1,90,,,1,0,,,,,api.fifa.com
25,402820,SONG Bumkeun,Korea Republic,Mexico,0,0,,,,,,,,,api.fifa.com
25,397753,JO Hyeonwoo,Korea Republic,Mexico,0,0,,,,,,,,,api.fifa.com
31,499913,Matt FREESE,USA,Australia,1,96,,,0,1,,,,,api.fifa.com
