match_id;player_id;player_name;team;opponent_team;starter;minutes_played;saves;shots_faced;goals_conceded_on_pitch;clean_sheet;penalty_saves;punches;data_source
69;1142;Alvaro MONTERO;Colombia;Portugal;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
69;1041;DIOGO COSTA;Portugal;Colombia;1;92;6;0;0;1;0;1;api.fifa.com+espn.com
69;1052;JOSE SA;Portugal;Colombia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
69;1062;RUI SILVA;Portugal;Colombia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
68;978;Oussama BENBOT;Algeria;Austria;1;96;0;0;3;0;0;0;api.fifa.com+espn.com
68;963;Melvin MASTIL;Algeria;Austria;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
68;985;Luca ZIDANE;Algeria;Austria;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
68;989;Alexander SCHLAGER;Austria;Algeria;1;96;2;0;3;0;0;0;api.fifa.com+espn.com
68;1000;Florian WIEGELE;Austria;Algeria;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
68;1001;Patrick PENTZ;Austria;Algeria;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
67;1015;YAZEED ABULAILA;Jordan;Argentina;1;94;1;0;3;0;0;0;api.fifa.com+espn.com
67;1026;NOUR BANIATEYAH;Jordan;Argentina;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
67;1036;ABDALLAH ALFAKHORI;Jordan;Argentina;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
67;959;Emiliano MARTINEZ;Argentina;Jordan;1;94;0;0;1;0;0;0;api.fifa.com+espn.com
67;937;Juan MUSSO;Argentina;Jordan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
67;948;Geronimo RULLI;Argentina;Jordan;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
