category,from_left_side,from_right_side,match_id,match_team_id,metric,source_page,team,team_id,value
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,total_penalties,41,Türkiye,TUR,0
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,total_corners,41,Türkiye,TUR,8
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_TUR,total_throw_ins,41,Türkiye,TUR,24
corners_delivery_type,3,3,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Direct to Area,39,Brazil,BRA,6
corners_delivery_type,0,0,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Short,39,Brazil,BRA,0
corners_delivery_type,0,0,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Edge of Penalty Area,39,Brazil,BRA,0
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Inswing,39,Brazil,BRA,6
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Outswing,39,Brazil,BRA,0
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Driven,39,Brazil,BRA,0
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Lofted,39,Brazil,BRA,0
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Direct,39,Brazil,BRA,14
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Direct (on target),39,Brazil,BRA,0
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Direct (off target),39,Brazil,BRA,0
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Indirect,39,Brazil,BRA,1
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,total_set_plays,39,Brazil,BRA,38
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,total_free_kicks,39,Brazil,BRA,15
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,total_penalties,39,Brazil,BRA,0
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,total_corners,39,Brazil,BRA,6
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,total_throw_ins,39,Brazil,BRA,17
corners_delivery_type,0,2,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Direct to Area,40,Morocco,MAR,2
corners_delivery_type,0,0,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Short,40,Morocco,MAR,0
corners_delivery_type,0,0,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Edge of Penalty Area,40,Morocco,MAR,0
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Inswing,40,Morocco,MAR,1
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Outswing,40,Morocco,MAR,1
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Driven,40,Morocco,MAR,0
corners_delivery_style,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Lofted,40,Morocco,MAR,0
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Direct,40,Morocco,MAR,16
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Direct (on target),40,Morocco,MAR,0
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Direct (off target),40,Morocco,MAR,0
free_kicks,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Indirect,40,Morocco,MAR,0
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,total_set_plays,40,Morocco,MAR,31
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,total_free_kicks,40,Morocco,MAR,16
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,total_penalties,40,Morocco,MAR,0
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,total_corners,40,Morocco,MAR,2
summary,,,2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,total_throw_ins,40,Morocco,MAR,13
corners_delivery_type,0,2,2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,Direct to Area,40,Qatar,QAT,2
corners_delivery_type,1,0,2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,Short,40,Qatar,QAT,1
corners_delivery_type,0,0,2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,Edge of Penalty Area,40,Qatar,QAT,0
corners_delivery_style,,,2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,Inswing,40,Qatar,QAT,0
corners_delivery_style,,,2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,Outswing,40,Qatar,QAT,2
